Рейтинг,Оценки,Отзывы,Цена,Заголовок,Описание,URL,ISBN,Год издания,Автор,Редактор,Язык,Направление литературы,Тираж,Количество страниц,Иллюстрации,Переплет,Бумага,Издательство,Тип графической книги,Художник,Серия,Формат,Переводчик,Направление науки,Направление,Вес,Темы обучения,Развиваемые навыки,Темы,Тип пособия,Предмет,Класс,Дополнительная упаковка,Направление психологии,Образовательная программа,Тематика,Религия,Премия,Изучаемый язык,Дополнительная информация,Комплект,Минимальный возраст,Подарочное издание,Вид экзамена,Материал страниц,Особенности,Высота,Высота книги,Линейка,Тип,Количество листов,Датированность,Размер,Обложка,Крепление,Жанр,Минимальный рекомендуемый возраст,Бренд,Ширина,Ширина книги,Энциклопедия,Возраст,Тема,Праздник,Литература,Знание,Литературная форма,Отечественная литература,Радуга,Зарубежная литература,Журнал,Месяц издания,Номер выпуска,Периодичность,Язык издания,Размещение,Год,Тема изучения,Материал,Комплект книг,Сборник,Носитель,АСПОЛ,Молодая гвардия,Проспект,Недатированный,Просвещение,Новое время,Тема выпуска,Наука,Длина книги,Производитель,Длина,В комплекте,Раскраска,Правда,Мысль,АСТ,Питание от батареек,Тип батареек
0.0,0,0,486,Добрые истории о любви и дружбе: сказки. Соя А. В. Акварель,"Две истории, герои которых готовы отправиться с другом хоть на край света! Удивительное, необъяснимое, неслыханное событие однажды всполошило римский зоопарк - любимец публики Элефант подружился с какой-то бездомной кошкой! Напрасно друзья и знакомые твердили, что ничего хорошего из этого не получится, благородный слон никого не слушал и вознамерился положить к бархатным лапкам Визи свой успех, беззаботную жизнь и весь Рим впридачу. А в далекой стране, о которой Элефант даже и не слышал, жил Мишка-Ледышка. Он был очень необычным медведем - даже летом мерз, словно на Северном полюсе. Но в один прекрасный жаркий день ему надоело дрожать от холода, кутаться в теплое одеяло и терпеть насмешки. Мишка-Ледышка отправился в далекое путешествие, чтобы вернуться домой совсем другим. Идея этой удивительной истории пришла в голову Андрею Аринушкину, главному художнику всех котов солнечной Франции. А написать её он попросил своего друга, писателя Антона Сою. Книга с иллюстрациями Екатерины Бауман и Андрея Аринушкина.",https://market.yandex.ru/product--dobrye-istorii-o-liubvi-i-druzhbe-skazki-soia-a-v-akvarel/908688084?nid=56461&show-uid=16982552953980451887016693&context=search&uniqueId=18155838&sku=101268620600&cpc=vrdPxK4-4WuyhrG1yhuMnIEE8RbT9gVg48txQT3GdqjtM4Ey0O20U76wEC6TErWjy025hDP24pDS9qe2Y2ithQkRLswkh9svSsQO6W9g72q_1yE5gOteWH-9YLKmpFIyexdJn72UCn2cBTeKg_R_ZWPf4ibkFDlkWOh1UrBGPLieQ5-ON9ovKG7nM__HE-RtDVLDU939aHmiczfTBR3WgPdMqM9SukfmuRUt5NqJwuWRR_F5qrrds_xQc4tl7prolB7CR5Sg6nnj2keXhNl9tA%2C%2C&do-waremd5=K-LCJhGBSHGqXMrAcWrVFw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785604504529,2021,Соя А.,,русский,,2000 шт.,96,,твердый,офсетная,Акварель,,Аринушкин А.,Читают все,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,239,"Анкета для девочек ""Все самое тайное внутри Лама"" 16 листов","Все девочки обожают заполнять анкеты! Это неизменный атрибут их детства.Эта яркая анкета понравится любой маленькой принцессе. Сюда она запишет свои увлечения, поделится сокровенными мыслями и секретами, составит планы на будущее. Девочка научится складно излагать мысли и анализировать поступки.",https://market.yandex.ru/product--anketa-dlia-devochek-vse-samoe-tainoe-vnutri-lama-16-listov-artfox-rossiia/1408615243?nid=56456&show-uid=16982552953980451887016694&context=search&uniqueId=866833&sku=101408783735&cpc=vrdPxK4-4WvBYWSiVjAaYZN4hsfD0-qg3rs2q3VbKqrU6rRc_iDcyT5XD_bIs3ZWqdjerlGSdNyCZZvy6gp7zndlsha0y4ueu344hHiiglMbhtvtkmsaWvqIELu5JDRmP28ibaKcWDKo1mhAk7Y12-T0zuBbhW5XuHycQ3n--CQfp9vuu9xXmFsa2bM0_HFpd1vUGgH3c3w%2C&do-waremd5=FH53I5JQ3nT0e0Ui04ZTPw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,,,,,,,,,Скрепки,,ArtFox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анкета, дневник личный",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1,0,3822,Книга Кацусика Хокусай,"Произведения японского художника Хокусая – замечательная страница мировой культуры. Мастер поведал о том, что жизнь – это непрерывное развитие. И жить надо в единстве с природой. Он создавал картины, как и хотел, «подобные божественному чуду».",https://market.yandex.ru/product--katsusika-khokusai/1401387927?nid=20598950&show-uid=16982552953980451887016695&context=search&uniqueId=50290724&sku=101392604857&cpc=vrdPxK4-4WtMtFXnzZMtJGP_WRqKmSHPwsJJG-bd0WKI9eOzmjXYX2TjHIJFblz9l-n8Tm6caNyssSmVZpYghz5LR7myc4bQUnKGh0MWOdy7Rfoz70EOWxVpX6y_1sw5y345JP3WbXWFQn9WX3APTUeX9ICcC0YF6CSgzxFG27hJnh5ijTfXSSduQuYA2Qc5_3NVRp-ilHdzTJPNTvbWI03u6NKw5YWD2uJ6lJ2y-SVq_ttL104-pFBBJ5sjDESfYcGUTaIjq94hXAB70CZDWA%2C%2C&do-waremd5=nAmpwljsB1Hkk6eAw2AYZA&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-359-01210-2,2021,Астахов А.,,"русский, rus",искусство и культура,1200 шт.,208,,твердый,мелованная,Белый город,,,Великие полотна,245x340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,490,Якоб в детском саду,"Якоб первый раз идёт в детский сад. Ему немного страшно, но очень интересно! В саду Якоб сразу находит друга и даже не замечает, как проходит целый день. Скорее бы завтра!Вместе с Якобом ваш малыш быстрее справится с волнением, адаптируется к новой обстановке, узнает, как все устроено в детском саду.Для мальчиков и девочек 2+ лет.",https://market.yandex.ru/product--iakob-v-detskom-sadu/885288650?nid=20598910&show-uid=16982552953980451887016696&context=search&uniqueId=924574&sku=101244411298&cpc=vrdPxK4-4WuYpLQ5BxkgoEWJv3_czbfVMcHmZqCakJjVaf2kXFmtr51fwPC75vFLoeljmpaR7sFGao269WTnCVTPjRvjDHAPn250ixIPQYSOZv-885Crh_HbE_7d-y2CH8hufCud1pZx_PM9ytMOIP5g7i7rnxlROAh1ORiPyWKhtBxAo8X0qVnTFHHoehflpLVWVPpWTtRhdS8Rvjrsb83MJM4fqtC5O4dUg5Ch9WTZNRav_Yaszv_sPtU8heHBC3BNyQjIYol7349-NpqVPQ%2C%2C&do-waremd5=K45j3T6R8_2Pfqxv7mvXPw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785961447118,2021,Банзер Неле,,русский,,3000 шт.,12,цветные,твердый,картон,Альпина Паблишер,,,,,Людмила Тагильцева,,,140 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,687,"Бюджетный документооборот: новые правила. 2-е изд, перераб. и доп","В книге приведены формы первичных учетных документов и бухгалтерских регистров для всех типов государственных и муниципальных учреждений, а также методические указания по их применению (в т. ч. новые, которые приняты совсем недавно). Дан подробный комментарий к порядку документирования операций. Издание подготовлено на основании приказа Минфина России от 30.03.2015 № 52н (с учетом всех изменений и дополнений) с использованием системы гарант. Книга может быть использована в качестве учебного пособия при изучении бухгалтерского учета, а также будет полезна широкому кругу читателей - руководителям и бухгалтерам государственных, муниципальных и автономных учреждений.2-е издание, переработанное и дополненное.",https://market.yandex.ru/product--biudzhetnyi-dokumentooborot-novye-pravila-2-e-izd-pererab-i-dop/1432980481?nid=20598950&show-uid=16982552953980451887016697&context=search&uniqueId=18155838&sku=101440935441&cpc=vrdPxK4-4WvZ9Ci3zhfZw5GZ45qzyWysGhx_45-Sn5htqFfmYwS5PiOm_l-Fah-duc0SYQU-NJ83YHnRirvtZNAC0N1rpn2QXK7ZA2AY8Hd1h5ELjCRUyr9iTttuxRIFepSvL1hynm8oCCwYHHallumeJTPLd9PaUFdAx-9SzDdViNjWM1cakgEPTjqKqay5CZpAP_LGMaz5mRXRMI88cXkMh9jmLXyNJfQjtghcTCSryg-_E0PuK_Rj1C9za9TOOt0i1aFjqxY7xWk1lZXWKQ%2C%2C&do-waremd5=ywIRtCnUE2htyym9w9PRGw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-9748-0651-3,"2021, 21",Касьянова Г.Ю.,Касьянова Г.Ю.,русский,"бизнес и финансы, Книги по финансам",1000 шт.,432,,мягкий,газетная,АБАК,,,,60х88/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,154,"""Мойдодыр"", Чуковский К. И.","Задумываетесь о том, как привить ребёнку любовь к чтению? Рецепт прост: возьмите издание с красивыми картинками, захватывающей историей и милыми героями.«Мойдодыр», Чуковский К. И. — отличный вариант для тех родителей, которые привыкли окружать своего малыша только лучшими и качественными вещами. За такой книжкой ваш ребёнок проведёт время с пользой и удовольствием, узнает много нового и интересного.",https://market.yandex.ru/product--flamingo-moidodyr-chukovskii-k-i/1442664496?nid=56456&show-uid=16982552953980451887016698&context=search&uniqueId=866833&sku=101452583150&cpc=vrdPxK4-4WstQ2yQwBj9hmwn6U6zes7rkI7_hPSw42r2nMUnldAmIfcmGgGJFLvV8PhRQDt5OY6EJtTREyNMAxmKZNQcQOQWSsnefJQgAJIoiUsi5PZ71mmYCQtlJsFvb_xTi41JNv-zhLeqfaUaLvQS24DwnQYqMSfsvnga3jcOk1SvE2O3vESojm-8sGIsllPPHSHlxNw%2C&do-waremd5=Qg69eagJe_7zLW3dSOERIQ&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785783328626,,Чуковский К.И.,,,,,16,,мягкий,,Фламинго,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,3,0,1057,Сила спокойствия. Райан Холидей,"Эта книга поможет вам создать островок спокойствия внутри себя.Современный мир оглушает и отвлекает. Клаксоны автомобилей, громкая музыка, сигналы мобильных телефонов, уведомления социальных сетей, отбойные молотки и самолеты. Наши столы завалены бумагами, а ящики электронной почты переполнены сообщениями. Новости о кризисах в мире лезут с каждого экрана. Работа изматывает и, похоже, никогда не кончается.Как остановиться? Как сосредоточиться, чтобы хорошо все обдумать и принять взвешенное решение? Каким секретом владеют те, кому удается сохранять концентрацию и хладнокровие практически в любой ситуации?Райан Холидей, эксперт по саморазвитию, популярный консультант футбольных тренеров, олимпийцев, звезд хип-хопа и предпринимателей Кремниевой долины, проанализировав труды величайших мыслителей всех времен — от Конфуция до Сенеки, от Марка Аврелия до Тит Нат Хана, от Джона Стюарта Милля до Ницше, — пришел к выводу, что главный компонент успеха выдающихся лидеров, мыслителей, художников, спортсменов и бизнесменов — это спокойствие.В своей блестящей книге он объясняет, как научиться не реагировать на окружающее и в полной мере использовать свои способности в любое время, в любом месте и в любых обстоятельствах.",https://market.yandex.ru/product--sila-spokoistviia/1405636137?nid=20598950&show-uid=16982552953980451887016699&context=search&uniqueId=942132&sku=101403051470&cpc=vrdPxK4-4Wv-C2vuRcx_ZLE-tsC5-G35JxJ_SdfVi3YdxBdWOtDVRr6swVrKd5sNe3SJQJQzUl3Q1C_DovKvtaFGFBbDiKEidXeacBK8g_LfLWLKcEJiWNBHsRGqGOoZ3GJCzhEvsipAT5XHU55B_pzE2zfaNSzl2rLq8ZxTAhrJa_p0Zo_cvm_tPKDFTZh5rTMy4wiOx8tXX9nTuUWVfWSiKP1ye7b8Jo9wKQ82wmbKHMUkClWIQz1zhyoyDR1NfBW91y4Ua3QNa-56LjJkXg%2C%2C&do-waremd5=O_q8AMN9cYrvihtJUUNbMQ&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-00195-778-2,"2021, 2022, 2 022",Холидей Р.,,русский,,,304,,мягкий,,"Манн, Иванов и Фербер",,,Стоицизм в современном мире,20.8 x 14.4 x 2.4,,,,330 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,156,Контрольно-измерительные материалы. Всеобщая история. Новейшая история. 9 класс / Волкова К. В. / 2018,"Представленные контрольно-измерительные материалы (КИМы) для 9 класса тематически сгруппированы, соответствуют требованиям школьной программы по истории и возрастным особенностям учащихся. Использование КИМов позволит не только оценить усвоение учащимися материала по теме, но и постепенно подготовить их к современной тестовой форме проверки знаний, что пригодится при выполнении заданий ЦТ и ЕГЭ. В конце издания предложены ключи к тестам.Пособие адресовано учителям, школьникам и их родителям.",https://market.yandex.ru/product--volkova-k-v-kontrolno-izmeritelnye-materialy-vseobshchaia-istoriia-noveishaia-istoriia-9-klass/1781195504?nid=18540471&show-uid=16982552953980451887016700&context=search&uniqueId=979232&sku=1000213272&cpc=vrdPxK4-4Wu0P2nCpgI0z5JTf4cxOpLmuez-nLkXUyy2Zt0M0JErXPd9wp6S9jhZKTjn5ALqmpPzXDztbJiNeKOLwqWVjI8ozik6FGObRlWbibbn7A7r0mCBY0Dsuk_17rgvOfXBRDg-NuHy4jrLCIk0Y6mxIOETuSMkoI-Zh7frsUGSSGH4OIapxx6qMPhMDci2-KcprRE%2C&do-waremd5=qFyNR83g-17toLJ0tSmurA&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-408-03914-2,"2018, 2 018",Волкова К.В.,,русский,,5000 шт.,112,отсутствуют,мягкий,,Вако,,,,,,,"педагогам и логопедам, школьникам",,,,,дополнительные пособия,история,9 класс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1,0,685,"Пособие для учителей вако ФГОС Нестандартные задачи по математике 1-4 класс (Керова Г. В. ), (2021), 240 страниц","Пособие содержит задачи интеллектуально-занимательного характера, способствующие формированию у детей логического, алгоритмического, пространственного мышления. Все задачи сгруппированы по классам и темам в соответствии с учебниками, созданными авторским коллективом, возглавляемым М. И. Моро, но могут полноценно использоваться и с любыми другими учебными пособиями. В издании приводятся подробные решения для всех заданий, что значительно облегчит подбор необходимого материала при подготовке к урокам и внеклассным мероприятиям. Книга адресована учителям начальных классов, студентам педагогических вузов, гувернерам и родителям младших школьников. Будет полезна для проведения внеклассной работы по математике, при подготовке к математическим олимпиадам.",https://market.yandex.ru/product--kerova-g-v-nestandartnye-zadachi-po-matematike-1-4-klassy/1781195091?nid=18540471&show-uid=16982552953980451887016701&context=search&uniqueId=1155010&sku=1000092098&cpc=vrdPxK4-4Ws9iE3FduLQETa8cTTrD5hr_tquz2-g7iyEGX6vJqQ1bDZDh89jSkXWQKC9cv2Uvva1hTrUWNxCfLWaOrRV9QAJ-b0y3nkupU7-vocnk-w5uVuazcXUDSXMHgKLLpA4BIAkIK7s68ynhDjJ6hwhRVs2AD825-ox8TghBDhmMjKjpw6Rs1IjxUlwONPAHrGyrOIqaQpiU5ZLxfnibxtBtQ7iTDdcMe0QaworgDBCOZsEA62_rBThhzhiyYXwt013ceM5OrTgNuy2VQ%2C%2C&do-waremd5=ujCyJZmDZT7c-rBIJ1ZAIg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-408-05381-0,2021,Керова Г.В.,,русский,,2000 шт.,240,,твердый,,Вако,,,,12.5 x 20,,,"педагогам и логопедам, родителям, студентам и абитуриентам",,,,,методические пособия,математика,"1 класс, 2 класс, 3 класс, 4 класс",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,1053,Naruto V1 1E,"The world’s most popular ninja comic!Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja!Twelve years ago the Village Hidden in the Leaves was attacked by a fearsome threat. A nine-tailed fox spirit claimed the life of the village leader, the Hokage, and many others. Today, the village is at peace and a troublemaking kid named Naruto is struggling to graduate from Ninja Academy. His goal may be to become the next Hokage, but his true destiny will be much more complicated. The adventure begins now!",https://market.yandex.ru/product--naruto-volume-1/1409759448?nid=20599010&show-uid=16982552953980451887016702&context=search&uniqueId=887543&sku=101410535024&cpc=vrdPxK4-4WszQ7rfoD6wYy4GCge7B72UzG_9pEg810o83mtEZsTUGu2QKd9bL5bz2BlJ0zi5-Npn6pFYhOlK3JtPaOFTU_3-pac8fd0msHk5D9awmD9AiILdhefrGU0uJtGPBVLteXhdoMWxZQhUQkl0E4x88DmTXh3gOCnhMmYcaL1K44Mr2u4gs0lBwHt3Bd_fzOp1ujzv0nOHrQ9wx7TeTW5LhrAmMBMVLHsbtrT8hi-SUEhQ7nhGTV3jhkMN8WKQpBkHj12RCceqkW_17Q%2C%2C&do-waremd5=FqIppKMyZyUEGloU35OF0Q&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9781569319000,,,,,,,,,,,VIZ,манга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1,0,2775,Программирование на Rust,"Официальный гид по языку программирования Rust от команды разработчиков Rust из Mozilla Foundation.Добро пожаловать в мир Rust!Этот официальный гид поможет вам создавать более быстрое и надежное программное обеспечение. Высокоуровневая эргономика и низкоуровневое управление часто противоречат друг другу, но Rust бросает вызов этому конфликту.Авторы книги входят в команду разработчиков языка, а значит, вы получите всю информацию из первых рук — от установки языка до создания надежных и масштабируемых программ. От создания функций, выбора типов данных и привязки переменных вы перейдете к более сложным концепциям:- Владение и заимствование, жизненный цикл и типажи.- Гарантированная безопасность программ.- Тестирование, обработка ошибок и эффективный рефакторинг.- Обобщения, умные указатели, многопоточность, типажные объекты и сопоставления.- Работа со встроенным менеджером пакетов Cargo для создания, тестирования, документирования кода и управления зависимостями.- Продвинутые средства работы с Unsafe Rust.Вы найдете множество примеров кода, а также три главы, посвященные созданию полноценных проектов для закрепления знаний: игры-угадайки, создание инструмента командной строки и многопоточного сервера.",https://market.yandex.ru/product--klabnik-s-nikols-k-programmirovanie-na-rust-ofitsialnyi-gaid/1781312411?nid=20598950&show-uid=16982552953980451887016703&context=search&uniqueId=749016&sku=1000144665&cpc=vrdPxK4-4WulzEsxSk0fptWw_E-07dK1X70f6U5bCFaFVJSR4pvA_IEjOdKx-z8PS1KwREhSZUl8iqCz-wcw5whDKIdzE6pljSW6PQKNMT9lZ3PoIIy-yYD097ZAinvf3Qx2RcxVWF6N_0DaZ5h5q39CHTP9M8mfeo1kZZQb6cfLS2gZIFZMdH2OWQRpjdgNomqbdKisLoM%2C&do-waremd5=aZFmCySqEIeAeD64IuABTg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785446116560,2021,"Клабник С., Николс К.",Тульцева К.,русский,информационные технологии,1000 шт.,592,отсутствуют,мягкий,,Издательство Питер,,,Для профессионалов,,Логунов А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
